,ds,ds_user,ds_video,traces,Corners,Optical_flow
0,david,david_50,4_Ocean,"[[ 0.00000000e+00  9.81982034e-01 -9.53881129e-04  1.88971888e-01]
 [ 2.00000000e-01  9.82050313e-01 -3.52262961e-04  1.88618817e-01]
 [ 4.00000000e-01  9.82828701e-01  2.73655827e-03  1.84500013e-01]
 [ 6.00000000e-01  9.85193139e-01  5.55315699e-03  1.71358225e-01]
 [ 8.00000000e-01  9.95873566e-01  4.46166366e-03  9.06417916e-02]
 [ 1.00000000e+00  9.97802420e-01  8.88036348e-03 -6.56617866e-02]
 [ 1.20000000e+00  9.65245758e-01 -9.39136266e-03 -2.61175093e-01]
 [ 1.40000000e+00  9.17602171e-01 -4.18001360e-02 -3.95296097e-01]
 [ 1.60000000e+00  8.65669511e-01 -4.62892600e-02 -4.98471265e-01]
 [ 1.80000000e+00  7.85253126e-01 -4.64686850e-02 -6.17428691e-01]
 [ 2.00000000e+00  7.22410521e-01 -2.72513711e-02 -6.90927205e-01]
 [ 2.20000000e+00  6.76202236e-01 -2.21048794e-02 -7.36384350e-01]
 [ 2.40000000e+00  5.85920520e-01 -4.24784144e-02 -8.09254428e-01]
 [ 2.60000000e+00  5.08447448e-01 -4.25187479e-02 -8.60042644e-01]
 [ 2.80000000e+00  4.92979587e-01 -3.16893732e-02 -8.69463576e-01]
 [ 3.00000000e+00  5.37333266e-01 -8.62146911e-03 -8.43325934e-01]
 [ 3.20000000e+00  5.99487617e-01  2.22399556e-02 -8.00074985e-01]
 [ 3.40000000e+00  6.22439508e-01  2.74504829e-02 -7.82186378e-01]
 [ 3.60000000e+00  6.33670673e-01  1.40148695e-02 -7.73475961e-01]
 [ 3.80000000e+00  6.53601599e-01  2.29289431e-02 -7.56491383e-01]
 [ 4.00000000e+00  6.78688863e-01  6.99425627e-02 -7.31087864e-01]
 [ 4.20000000e+00  6.86886705e-01  1.36567307e-01 -7.13817922e-01]
 [ 4.40000000e+00  6.86535142e-01  1.82995420e-01 -7.03691818e-01]
 [ 4.60000000e+00  7.19861766e-01  2.01001331e-01 -6.64377530e-01]
 [ 4.80000000e+00  7.68018144e-01  1.79149313e-01 -6.14860679e-01]
 [ 5.00000000e+00  8.02488701e-01  1.40495391e-01 -5.79890447e-01]
 [ 5.20000000e+00  8.15467604e-01  1.16571921e-01 -5.66942302e-01]
 [ 5.40000000e+00  7.78299764e-01  1.43998130e-01 -6.11157931e-01]
 [ 5.60000000e+00  7.49465991e-01  2.21563624e-01 -6.23867204e-01]
 [ 5.80000000e+00  7.24147180e-01  2.81417236e-01 -6.29615121e-01]
 [ 6.00000000e+00  6.86934764e-01  3.95125371e-01 -6.09915217e-01]
 [ 6.20000000e+00  5.37839051e-01  5.94840299e-01 -5.97406205e-01]
 [ 6.40000000e+00  2.81741368e-01  7.61127336e-01 -5.84214841e-01]
 [ 6.60000000e+00  1.18056093e-01  8.00780510e-01 -5.87208084e-01]
 [ 6.80000000e+00  6.22609685e-02  8.06353276e-01 -5.88147911e-01]
 [ 7.00000000e+00 -2.64170052e-02  8.20412049e-01 -5.71162158e-01]
 [ 7.20000000e+00 -1.66017506e-01  8.20939595e-01 -5.46348212e-01]
 [ 7.40000000e+00 -3.16305279e-01  7.94115586e-01 -5.18971489e-01]
 [ 7.60000000e+00 -4.29640818e-01  7.41735748e-01 -5.15011502e-01]
 [ 7.80000000e+00 -5.67191683e-01  6.15214757e-01 -5.47543968e-01]
 [ 8.00000000e+00 -6.84432639e-01  4.54653679e-01 -5.69949116e-01]
 [ 8.20000000e+00 -7.58504071e-01  3.24513124e-01 -5.65121939e-01]
 [ 8.40000000e+00 -8.25516117e-01  2.21071514e-01 -5.19278852e-01]
 [ 8.60000000e+00 -8.98911285e-01  1.09500399e-01 -4.24226549e-01]
 [ 8.80000000e+00 -9.52110308e-01 -1.35946078e-02 -3.05452366e-01]
